Feature,Importance
annual_rain_mm,0.16511858916375335
R_factor,0.15941293926343555
district,0.0957647714138028
longitude,0.06186115613032
lat_key,0.050031826921549324
latitude,0.04934624279609391
tile_id,0.04172101587132032
elevation,0.021104353541294713
dayofyear,0.019608549005096773
days_from_sample,0.015003596126317824
cloud_cover,0.014647162515632297
TPI_600m,0.012197595142294335
S1_VV_GLCM_Correlation,0.010218408904684199
S1_VV_ASM,0.008770048514697029
S1_VH_GLCM_Correlation,0.008338111150144328
SAT_PC_6,0.008304341777935632
S1_VH_ASM,0.007708489973922717
SAT_PC_9,0.006986146275787349
SAT_PC_7,0.006744143678870653
SAT_PC_2,0.006399046490003417
RI,0.006380787357256526
MCARI,0.006201375152400851
S1_VH_VV,0.006200221357123501
plan_curvature,0.006144546070119134
SAT_PC_8,0.006018031163867153
TPI_300m,0.0059377684023140444
SAT_PC_1,0.005876376375326087
TWI,0.005853019994970387
SAT_PC_4,0.005824490990898829
IRECI,0.0054950032368604644
NDI45,0.005308436061017228
SAT_PC_5,0.00528228673395537
profile_curvature,0.005248235649469507
NDMI2,0.005083092232959959
NDSI_SWIR_NIR,0.00508237000009959
NDWI_Green_NIR,0.00503976358669865
NDSI_SWIR2_NIR,0.004983604065285577
S1_VV_GLCM_Mean,0.0049523370124544335
S1_VH_GLCM_Mean,0.004752723847596229
LS_factor,0.004587299872576105
S1_VH_GLCM_Variance,0.0044951155353916365
BI_SWIR,0.0044246102033253356
aspect_deg,0.004350909207339671
SPI,0.004313718456207517
S1_VV_VH_mean,0.004179972163044034
SAT_PC_3,0.00417978355693562
S1_VV_GLCM_Variance,0.004062786198003361
SAT_PC_0,0.003920907339461705
aspect_sin,0.0038718392249712137
Iron_Oxide_ND,0.0035994335577357625
SWIR_Ratio_2,0.0035886562930695256
aspect_cos,0.003442801494910775
Red_Blue_Ratio,0.0034385601185853362
SWIR_Ratio_1,0.0034002064638687037
S1_VV_Energy,0.0033783284865353982
Red_Green_Ratio,0.0032189914590468873
RVI,0.0031460502125271904
CI,0.003137005145502022
log_flow_acc,0.0031223782693283043
BI_ALL,0.0031082774548374316
flow_acc,0.003059588377402837
NDVI_calc,0.0030276487305178823
S1_VH_minus_VV,0.002926919405977699
BI_VIS,0.0028681351035988413
S1_VH_Dissimilarity,0.0027614534352803483
BI2_Escadafal,0.0027534187003017234
BI_Escadafal,0.002698471110505124
S1_VV_minus_VH,0.0026638573409577867
S1_VV_Dissimilarity,0.002484645833530706
S1_VH_Energy,0.002406403822109601
S1_VH_MaxProbability,0.002399296904598831
S1_VV_MaxProbability,0.002250727270540485
S1_VV_Homogeneity,0.002233692846866101
S1_VH_Homogeneity,0.0019961324108748674
LULC_code,0.0016429148518770057
month,0.0014199118411815617
sample_month,0.0013648645106041177
slope_deg,0.0012133132563971292
LULC_class,0.001123195773591837
period,0.0008101108113465692
duplicate_group_size,0.0005889390875000299
CLIMATE_VALUE,0.0003771297273926729
year,0.0003673710597134013
CLIMATE_SUBCLASS,0.00028355190791621015
inside_osm_positive_agri_natural,0.0002727334337772233
CLIMATE_CLASS,8.693778480595221e-05
bare_soil_candidate,0.0
state,0.0
valid_s2_for_filtering,0.0
Band_SCL,0.0
S2_FOUND,0.0
bare_soil_strict,0.0
major_road_review_zone,0.0
bare_soil_moderate,0.0
bare_soil_relaxed_sensitivity,0.0
osm_polygon_review_zone,0.0
water_polygon_review_zone,0.0
water_polygon_reject,0.0
developed_review_zone,0.0
developed_reject,0.0
building_review_zone,0.0
building_reject,0.0
osm_any_review_zone,0.0
osm_any_hard_exclusion,0.0
spatial_qc_status,0.0
water_review_zone,0.0
water_reject,0.0
track_road_review_zone,0.0
local_road_review_zone,0.0
medium_road_review_zone,0.0
medium_road_reject,0.0
major_road_reject,0.0
osm_polygon_hard_exclusion,0.0
